Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	MeanNegSurprisal	StdevNegSurprisal	Accuracy	NumExamples
1400000	variable	10257	19.29145622253418	nan	26.285629272460938	nan	0.0	1
1400000	with	0	1.0513981580734253	1.6758774518966675	18.307369232177734	5.852941513061523	0.783203125	512
1500000	a	0	0.726895272731781	1.4624696969985962	18.727529525756836	5.70753288269043	0.83984375	512
1500000	by	0	0.918094277381897	1.960490107536316	19.314516067504883	5.542788505554199	0.810546875	512
1500000	constraint	824	15.161750793457031	nan	29.89690399169922	nan	0.0	1
1500000	exploring	36	9.020928382873535	nan	19.95926856994629	nan	0.0	1
1500000	fined	0	0.020337220281362534	nan	29.728282928466797	nan	1.0	1
1500000	of	0	0.271365225315094	0.9339866042137146	17.639007568359375	5.107812881469727	0.953125	512
1500000	sob	3238	18.131637573242188	nan	27.839208602905273	nan	0.0	1
1500000	the	0	0.39414066076278687	0.8409202098846436	16.407718658447266	5.894845962524414	0.921875	512
1500000	variable	8814	18.584346771240234	nan	24.093141555786133	nan	0.0	1
1500000	with	0	1.039207935333252	1.6467965841293335	18.65663719177246	5.810779094696045	0.763671875	512
1600000	a	0	0.6855776309967041	1.442141056060791	18.58194351196289	5.690652847290039	0.859375	512
1600000	by	0	0.9004396796226501	1.911900520324707	19.29644203186035	5.478920936584473	0.80078125	512
1600000	constraint	734	14.60403823852539	nan	29.896461486816406	nan	0.0	1
1600000	exploring	67	10.64454174041748	nan	17.85279083251953	nan	0.0	1
1600000	fined	0	0.017159920185804367	nan	29.596454620361328	nan	1.0	1
1600000	of	0	0.29314929246902466	0.9774762988090515	17.90008544921875	5.048567771911621	0.95703125	512
1600000	sob	3414	18.46196937561035	nan	27.346281051635742	nan	0.0	1
1600000	the	0	0.3860469162464142	0.817729651927948	16.53985023498535	5.949852466583252	0.92578125	512
1600000	variable	8203	18.48659324645996	nan	26.687070846557617	nan	0.0	1
1600000	with	0	1.0651249885559082	1.742963194847107	18.851512908935547	5.831150054931641	0.779296875	512
1700000	a	0	0.7345494627952576	1.5085862874984741	18.679162979125977	5.661859512329102	0.837890625	512
1700000	by	0	0.9084159731864929	1.879943609237671	19.184389114379883	5.433629512786865	0.8046875	512
1700000	constraint	1059	15.897464752197266	nan	29.896743774414062	nan	0.0	1
1700000	exploring	42	9.378300666809082	nan	18.243608474731445	nan	0.0	1
1700000	fined	0	0.03376441448926926	nan	29.509462356567383	nan	1.0	1
1700000	of	0	0.29502591490745544	0.9763559699058533	17.846969604492188	5.087464809417725	0.943359375	512
1700000	sob	4211	18.92654037475586	nan	24.461687088012695	nan	0.0	1
1700000	the	0	0.39970120787620544	0.8535281419754028	16.489164352416992	5.8214430809021	0.919921875	512
1700000	variable	6639	17.687026977539062	nan	27.077957153320312	nan	0.0	1
1700000	with	0	0.9784458875656128	1.6046571731567383	18.662729263305664	5.8232035636901855	0.791015625	512
1800000	a	0	0.7031630277633667	1.4739465713500977	18.789852142333984	5.6625237464904785	0.84375	512
1800000	by	0	0.8947740197181702	1.9140686988830566	19.437637329101562	5.480860233306885	0.810546875	512
1800000	constraint	667	14.439188003540039	nan	29.89714813232422	nan	0.0	1
1800000	exploring	43	9.506793022155762	nan	18.30110740661621	nan	0.0	1
1800000	fined	0	0.03951870650053024	nan	29.819093704223633	nan	1.0	1
1800000	of	0	0.2929110825061798	0.9440920352935791	18.099075317382812	5.0707573890686035	0.9453125	512
1800000	sob	4797	19.606016159057617	nan	27.72687530517578	nan	0.0	1
1800000	the	0	0.3839426636695862	0.8320819139480591	16.60037612915039	5.91172981262207	0.923828125	512
1800000	variable	9404	19.06269645690918	nan	25.531919479370117	nan	0.0	1
1800000	with	0	0.9974112510681152	1.616112232208252	18.895065307617188	5.823525428771973	0.787109375	512
1900000	a	0	0.7298893928527832	1.4978854656219482	18.89945411682129	5.698383331298828	0.845703125	512
1900000	by	0	0.8912501335144043	1.882030963897705	19.400299072265625	5.43886137008667	0.818359375	512
1900000	constraint	708	14.513474464416504	nan	29.89700698852539	nan	0.0	1
1900000	exploring	60	10.449549674987793	nan	18.756589889526367	nan	0.0	1
1900000	fined	0	0.013317008502781391	nan	29.727779388427734	nan	1.0	1
1900000	of	0	0.2800803482532501	0.9284219741821289	17.953454971313477	5.111538887023926	0.953125	512
1900000	sob	4073	18.895360946655273	nan	26.569581985473633	nan	0.0	1
1900000	the	0	0.3887808620929718	0.8461712002754211	16.557336807250977	5.927571773529053	0.923828125	512
1900000	variable	9588	18.665884017944336	nan	27.390615463256836	nan	0.0	1
1900000	with	0	1.0173780918121338	1.6597678661346436	18.853530883789062	5.842753887176514	0.783203125	512
2000000	a	0	0.7096618413925171	1.4830684661865234	18.861839294433594	5.713113784790039	0.8515625	512
2000000	by	0	0.8857288956642151	1.881983757019043	19.368131637573242	5.480860710144043	0.8125	512
2000000	constraint	728	14.549798965454102	nan	29.897085189819336	nan	0.0	1
2000000	exploring	56	10.40211009979248	nan	19.1697998046875	nan	0.0	1
2000000	fined	0	0.018657272681593895	nan	29.77723503112793	nan	1.0	1
2000000	of	0	0.2800697684288025	0.9283672571182251	18.04772186279297	5.119730472564697	0.953125	512
2000000	sob	3805	18.751544952392578	nan	25.97096061706543	nan	0.0	1
2000000	the	0	0.3920142650604248	0.8684574961662292	16.61728286743164	5.940992832183838	0.927734375	512
2000000	variable	8835	18.539169311523438	nan	26.463598251342773	nan	0.0	1
2000000	with	0	0.9999788999557495	1.642021894454956	18.897979736328125	5.846077919006348	0.787109375	512
